Q 0.1,Q 0.2,Q 0.3,Q 0.4,Q 0.5,Q 0.6,Q 0.7,Q 0.8,Q 0.8_1_TEXT,Q 0.8_2_TEXT,Q 0.9,Q 1.1,Q 1.1_1_TEXT,Q 1.1_2_TEXT,Q 1.1_3_TEXT,Q 1.1_4_TEXT,Q 1.2,Q 1.3,Q 1.4,Q 1.5,Q 1.6,Q 1.7,Q 2.1,Q 2.1_5_TEXT,Q 2.2,Q 2.2_8_TEXT,Q 2.3,Q 2.4,Q 2.4_12_TEXT,Q 2.5,Q 2.6,Q 2.6_3_TEXT,Q 3.1,Q 3.2,Q 3.3,Q 3.3_10_TEXT,Q 3.4,Q 3.4_6_TEXT,Q 3.5_1,Q 3.5_2,Q 3.5_3,Q 3.5_4,Q 3.5_5,Q 3.5_6,,,,,,,,,,,,,,,Q 3.5_7,Q 3.5_8,Q 3.5_9,Q 3.5_10,Q 3.6,Q 3.7,Q 3.8_1,Q 3.8_2,Q 3.8_3,Q 3.8_4,Q 3.8_5,Q 3.8_6,Q 3.8_6_TEXT,Q 3.9,Q 3.9_12_TEXT,Q 3.10,Q 3.11_1,Q 3.11_2,Q 3.12,Q 3.13,Q 3.13_6_TEXT,Q 3.14_4,Q 3.15,Q 3.16#1_1,Q 3.16#1_2,Q 3.16#1_3,Q 3.16#1_4,Q 3.16#1_5,Q 3.16#1_6,Q 3.16#1_7,Q 3.16#2_1,Q 3.16#2_2,Q 3.16#2_3,Q 3.16#2_4,Q 3.16#2_5,Q 3.16#2_6,Q 3.16#2_7,Q 3.16#3_1_1,Q 3.16#3_2_1,Q 3.16#3_3_1,Q 3.16#3_4_1,Q 3.16#3_5_1,Q 3.16#3_6_1,Q 3.16#3_7_1,Q 3.17,Q 3.17_10_TEXT,Q 3.18,Q 3.19,Q 3.19_7_TEXT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-service restaurants,Category 4: Catering establishments offering services equivalent to 1 star establishments,guest house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels and similar accommodation,Category 2: Catering establishments offering services equivalent to 3 star establishments,"5-star, 4-star, 3-star, 2-star, or 1-star hotel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels and similar accommodation,Category 2: Catering establishments offering services equivalent to 3 star establishments,"5-star, 4-star, 3-star, 2-star, or 1-star hotel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels and similar accommodation,Category 2: Catering establishments offering services equivalent to 3 star establishments,guest house,,24 rooms,"Simultaneous, unchanged, and unaltered retransmission (e.g. TV, radio broadcasts, streaming)","Rural settlement (under 1,000)","Opening time,Closing time",8,21,Yes,Number of rooms,,,24,,80,2 persons,Yes,"7,600,000 Ft – 19,000,000 Ft","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Yes,"Streaming services (e.g., Spotify, Apple Music, etc.),Radio or TV",,"Portable speakers (e.g., Bluetooth or standalone),Radio or traditional media player (CD, MP3)",,Most days,"Pop,Latin,Country,Jazz",,No,A mix of both,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels and similar accommodation,Category 1: Catering establishments offering services equivalent to 4 and 5 star establishments,"5-star, 4-star, 3-star, 2-star, or 1-star hotel",201-250 rooms,,,Budapest,"Opening time,Closing time",00:00,24:00:00,I’m not sure,Number of rooms,,,214,,2019,Above 50 persons,No,"Above 304,000,000 Ft","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",No,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels and similar accommodation,Category 1: Catering establishments offering services equivalent to 4 and 5 star establishments,"5-star, 4-star, 3-star, 2-star, or 1-star hotel",151-200 rooms,,,"Small town (5,001–10,000)","Opening time,Closing time",0,24,Yes,Number of rooms,,,176,,400,Above 50 persons,No,"Above 304,000,000 Ft","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Yes,Radio or TV,,"Built-in sound system (e.g., ceiling speakers, amplifiers)",,Every day I am open,"Latin,R&B,Country,Jazz",,No,Randomly selected or played by chance,,Yes,"Microphones (wired or wireless),Sound technician/operator on-site",51–100 people,,"Solo artists,Bands,DJ sessions,Classical ensembles,Other (please specify)",vers és zene,Other,Other,Other,Solo artists,Solo artists,Bands,,,,,,,,,,,,,,,DJ sessions,Jam sessions,Classical ensembles,Other,stayed the same,two days/nights per week,,,,,,,,"Jazz,Folk,Experimental,Other (please specify)",Saját szerzeményei a művésznek,Free,,,,other (specify),Jól érzi magát a vendég,0,increases slightly,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,0,0,0,0,0,0,0,,,No noticeable impact,"Noise complaints from neighbours or authorities,Difficulty attracting audiences,Other (please specify)",Hangerő miatt panaszkodnak
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels and similar accommodation,Category 1: Catering establishments offering services equivalent to 4 and 5 star establishments,"5-star, 4-star, 3-star, 2-star, or 1-star hotel",51-100 rooms,,,"Small town (5,001–10,000)","Opening time,Closing time",0-24,0-24,Yes,Maximum capacity in number of persons,110,,,,110,30-50 persons,No,"Above 304,000,000 Ft","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Yes,"Licensed music providers (e.g., Soundtrack Your Brand, Mood Media, etc.)",,"Built-in sound system (e.g., ceiling speakers, amplifiers)",,Every day I am open,"Pop,R&B,Jazz",,Yes,Carefully curated or planned to match the atmosphere and customer experience,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee shops and tea houses,Category 3: Catering establishments equivalent to 2 star establishments,guest house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels and similar accommodation,Category 2: Catering establishments offering services equivalent to 3 star establishments,"5-star, 4-star, 3-star, 2-star, or 1-star hotel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-service restaurants,Category 2: Catering establishments offering services equivalent to 3 star establishments,"5-star, 4-star, 3-star, 2-star, or 1-star hotel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-service restaurants,Category 1: Catering establishments offering services equivalent to 4 and 5 star establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee shops and tea houses,"Category 5: Restaurants, pubs, wine bars, lounge bars, espresso bars, cafes, coffee houses, tea houses, patisseries, food and salad bars and other catering establishments whose appearance and services exceed the standard of a typical 3 star establishment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fast food and quick-service restaurants,"Category 6: Drink bars, pubs, taverns, buffets and other venues that do not meet the standards of Category 5 establishments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-service restaurants,"Category 5: Restaurants, pubs, wine bars, lounge bars, espresso bars, cafes, coffee houses, tea houses, patisseries, food and salad bars and other catering establishments whose appearance and services exceed the standard of a typical 3 star establishment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee shops and tea houses,Category 1: Catering establishments offering services equivalent to 4 and 5 star establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
