Q 0.1,Q 0.2,Q1.1,Q1.1_1_TEXT,Q1.1_2_TEXT,Q1.1_3_TEXT,Q1.1_4_TEXT,Q 1.2,Q1.3,Q1.4,Q 1.5,Q 1.6,Q 1.7,Q 2.1,Q 2.1_5_TEXT,Q2.2,Q2.2_8_TEXT,Q2.3,Q2.4,Q2.4_12_TEXT,Q2.5,Q 2.6,Q 2.6_4_TEXT,Q 3.1,Q 3.2.,Q 3.3,Q 3.3_10_TEXT,Q 3.4,Q 3.4_6_TEXT,Q3.5_1,Q3.5_2,Q3.5_3,Q3.5_4,Q3.5_5,Q3.5_6,Q3.5_7,Q3.5_8,Q3.5_9,Q3.5_10,Q3.6,Q 3.7,Q 3.7_7_TEXT,Q3.8_1,Q3.8_2,Q3.8_3,Q3.8_4,Q3.8_5,Q3.8_6,Q3.8_6_TEXT,Q3.9,Q3.9_12_TEXT,Q3.10,Q3.10_5_TEXT,Q3.11,Q3.11_4_TEXT,Q3.12,Q 3.13,Q 3.13_6_TEXT,Q 3.14_4,Q 3.15,Q 3.16#1_1,Q 3.16#1_2,Q 3.16#1_3,Q 3.16#1_4,Q 3.16#1_5,Q 3.16#1_6,Q 3.16#1_7,Q 3.16#2_1,Q 3.16#2_2,Q 3.16#2_3,Q 3.16#2_4,Q 3.16#2_5,Q 3.16#2_6,Q 3.16#2_7,Q 3.16#3_1_1,Q 3.16#3_2_1,Q 3.16#3_3_1,Q 3.16#3_4_1,Q 3.16#3_5_1,Q 3.16#3_6_1,Q 3.16#3_7_1,Q 3.17,Q 3.17_10_TEXT,Q 3.18,Q3.19,Q3.19_7_TEXT,Q3.20,Q3.21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resort and destination dining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-service restaurants,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holiday and other short-stay accommodation,Yes,Maximum capacity in number of persons,20,,,,2006,2 persons,Yes,"€50,001-€150,000","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Yes,"Streaming services (e.g., Spotify, Apple Music, etc.)",,"Portable speakers (e.g., Bluetooth or standalone)",,Most days,"Pop,Rock",,No,Randomly selected or played by chance,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nightclubs and entertainment venues,Yes,Maximum capacity in number of persons,400,,,,1995,5 persons,Yes,"€20,001-€50,000","Friday,Saturday",Yes,"Licensed music providers (e.g., Soundtrack Your Brand, Mood Media, etc.),Purchased music (CDs, digital downloads, etc.)",,"Built-in sound system (e.g., ceiling speakers, amplifiers)",,Every day I am open,"Pop,Hip-Hop / Rap,Dance / Electronic,Latin",,Yes,Other (please specify),hudbu mixuje DJ ,Yes,"Professional PA system (mixer, amplifiers, speakers),Microphones (wired or wireless),Stage lighting,DJ equipment (e.g., turntables, DJ controller),Dedicated stage area,Sound technician/operator on-site",Over 200 people (please specify),150-400,"Solo artists,DJ sessions",,Other,Other,Other,Other,DJ sessions,DJ sessions,Solo artists,Other,Other,Other,increased,other,10 krát za rok ,,,,,,,,"Pop,Hip-Hop / Rap,Dance / Electronic,Latin",,Paid (ticket/entry),,€10.01–€20,,,increased food and beverage sales,,30,increases slightly,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,0,0,0,0,70%,0,0,,,"Yes, significantly","High artist fees,Difficulty attracting audiences,Unpredictable revenue",,Yes,06-Oct
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-service restaurants,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotels and similar accommodation,Yes,Maximum capacity in number of persons,200,,,,2009,Above 50 persons,No,"Above €400,000","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",Yes,"Licensed music providers (e.g., Soundtrack Your Brand, Mood Media, etc.)",,"Built-in sound system (e.g., ceiling speakers, amplifiers),Portable speakers (e.g., Bluetooth or standalone)",,Every day I am open,"Pop,Rock,Classical / Opera,Jazz",,No,Carefully curated or planned to match the atmosphere and customer experience,,Yes,"Professional PA system (mixer, amplifiers, speakers),Microphones (wired or wireless),Stage lighting,Musical instruments (e.g., piano, drum set, guitar),DJ equipment (e.g., turntables, DJ controller),Dedicated stage area,Sound technician/operator on-site",151–200 people,,"Solo artists,Bands,Jam sessions",,Other,Other,Other,Other,Other,Classical ensembles,Classical ensembles,Classical ensembles,Solo artists,Jam sessions,stayed the same,one day/night per week,,,,,,,,,"Pop,Rock,Jazz",,Paid (ticket/entry),,Over €20 (please specify),150,,other (specify),Ubytovanie,5,increases significantly,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,0,0,0,0,25,35,0,,,"Yes, somewhat","High artist fees,Difficulty attracting audiences,Equipment and venue space limitations,Unpredictable revenue",,Yes,03-May
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
